words,counts
ago,175
gop,174
told,174
given,174
charge,174
street,173
obviously,173
respect,173
seem,173
ask,172
die,171
bitch,171
certainly,170
killed,170
evil,170
different,169
billion,169
china,169
killing,169
shot,168
voting,168
federal,168
waste,167
id,167
play,167
asshole,166
belief,165
common,165
useful,165
along,165
choice,164
remember,163
soon,163
joke,163
candidate,163
race,162
hypocrisy,162
justin,162
land,162
putin,161
save,161
though,161
stuff,159
dangerous,159
entire,159
protest,159
argument,159
knew,159
christian,158
able,158
position,158
social,158
interest,157
happen,157
month,157
court,156
expect,156
middle,155
excuse,155
bring,155
doubt,155
national,154
judge,154
worst,154
cry,153
almost,153
stay,153
hear,153
parent,152
lefty,152
especially,152
seriously,152
harper,152
road,151
climate,151
type,151
paying,151
education,150
value,149
behavior,148
wanted,148
answer,147
wall,147
lose,147
learn,146
evidence,146
single,146
rule,146
came,146
quite,146
member,146
simple,146
plan,145
service,145
freedom,145
plain,145
violence,144
price,144
allowed,144
attention,144
area,143
mentally,143
pas,142
couldnt,142
team,142
bullshit,142
victim,141
arrogant,141
low,141
week,141
religion,141
fat,141
happy,140
baby,140
check,140
animal,140
personal,139
went,139
north,139
taxpayer,139
open,139
view,139
however,139
future,138
flag,137
fucking,137
pm,137
difference,137
small,137
private,137
including,137
foreign,137
bigot,136
correct,136
jail,136
pussy,136
taken,136
reading,136
totally,135
happened,135
fight,135
heard,135
lack,135
hawaii,135
took,134
fine,134
whatever,134
politics,134
water,134
speak,134
debt,133
legal,133
decision,133
united,133
driver,133
book,133
racism,132
important,132
nazi,132
top,132
fan,131
thousand,131
hit,131
wish,131
earth,131
shame,130
giving,130
wife,130
bully,130
100,129
huge,128
spend,128
owner,128
butt,128
benefit,128
fascist,128
half,128
gone,127
globe,127
result,127
beyond,127
none,126
serious,126
chump,126
girl,126
sheep,125
three,125
response,125
alaskan,124
second,124
security,124
easy,124
happens,124
10,124
bet,123
force,123
nobody,122
chief,122
property,121
fear,121
market,121
youve,121
lazy,121
individual,121
democracy,120
fault,120
mental,120
rid,120
found,120
alone,120
adult,120
weapon,119
ontario,119
drive,119
longer,119
special,119
administration,119
mess,118
playing,118
allow,118
dems,118
set,118
male,118
failed,118
chance,117
proof,117
deserve,117
together,117
weak,117
science,116
fired,116
report,116
clear,116
known,116
throw,115
insult,115
insane,115
attempt,115
source,115
bc,114
gave,114
biggest,114
follow,114
decade,114
often,114
bear,113
fox,113
protect,113
started,113
threat,113
income,113
community,113
fall,113
sell,113
immigrant,113
kick,112
bit,112
grow,112
planet,112
telling,112
beat,112
hold,112
leftist,111
fund,111
shooting,111
mistake,111
murder,110
worth,110
john,110
democratic,110
mayor,110
rate,109
information,109
break,109
possible,109
tired,109
islam,109
apparently,109
ignore,108
tweet,108
unless,108
local,108
population,108
period,108
add,108
base,108
responsible,108
fair,107
youll,107
nasty,107
hurt,107
bush,107
mother,107
blind,107
room,107
educated,106
investigation,106
born,106
religious,106
supremacist,105
write,105
straight,105
zero,105
admit,105
20,104
hypocritical,104
needed,104
false,104
korea,104
pick,104
current,104
obvious,104
spending,103
justice,103
couple,103
standing,103
pot,103
eye,103
moral,102
dumber,102
childish,102
dick,102
idiocy,102
gas,102
sign,102
player,102
scumbag,102
figure,101
clue,101
responsibility,101
saw,101
actual,101
thug,101
hole,101
industry,101
general,100
situation,100
forget,100
solution,100
due,100
bastard,100
ya,100
walk,99
debate,99
drunk,99
laugh,99
father,99
trust,99
intelligence,99
major,99
experience,99
prove,99
lead,98
send,98
sucker,98
prison,98
otherwise,98
proven,98
driving,98
increase,98
ball,97
worthless,97
close,97
enjoy,97
son,97
ban,97
lawyer,96
havent,96
village,96
door,96
listen,96
healthcare,96
minister,96
putting,96
body,96
promise,95
presidency,95
defend,95
tv,95
whether,95
front,95
progressive,95
absolute,94
orange,94
50,94
accept,94
eat,94
account,94
crook,94
destroy,94
willing,94
clueless,94
supposed,94
town,94
anyway,94
building,94
em,93
project,93
watching,93
ugly,93
con,93
delusional,93
red,92
innocent,92
finally,92
heart,92
hero,92
burn,91
quit,91
cover,91
washington,91
moronic,91
failure,91
college,91
economic,91
hundred,91
standard,90
damage,90
fit,90
propaganda,90
hopefully,90
jew,90
press,90
budget,90
lied,90
potus,89
agenda,89
wake,89
program,89
30,89
selling,89
involved,89
union,89
carbon,88
suggest,88
list,88
showing,88
homeless,88
light,88
age,88
intelligent,88
posting,88
insurance,88
fellow,87
narcissist,87
indeed,87
communist,87
chinese,87
sort,87
higher,86
worked,86
according,86
rape,86
uneducated,86
among,86
socialist,86
picture,86
lady,86
church,86
air,86
officer,86
dirty,86
letter,85
hour,85
worker,85
mass,85
short,85
safe,85
food,85
choose,85
rock,85
imagine,85
east,85
bag,85
fun,84
nfl,84
daily,84
constitution,84
across,84
student,83
research,83
site,83
brought,83
logic,83
mention,83
enemy,83
culture,83
teacher,83
sentence,83
record,83
turned,83
native,83
rail,83
outside,83
losing,82
large,82
acting,82
meet,82
west,82
grab,82
upon,82
gonna,82
hang,82
winger,82
share,82
quote,82
scam,82
caught,82
speaking,82
former,82
pathological,81
leadership,81
night,81
several,81
event,81
amendment,81
spent,81
definitely,81
thief,81
process,80
amount,80
subject,80
opportunity,80
writing,80
asked,80
senator,80
risk,80
south,80
utter,80
defense,80
effort,80
assault,80
consider,80
tried,80
pure,79
pull,79
disaster,79
bank,79
demand,79
shouldnt,79
disgrace,79
continues,79
glad,79
anymore,79
predator,79
offer,78
mccain,78
clean,78
minute,78
profit,78
explain,78
stick,78
created,78
fly,78
immigration,78
who,78
ground,77
supporting,77
youd,77
comey,77
refuse,77
gm,77
message,77
nuclear,77
wynne,77
rat,76
headline,76
regardless,76
blow,76
basic,76
average,76
build,76
perfect,76
whining,76
border,76
form,76
trade,76
remove,76
green,76
elect,76
raise,76
brown,75
surprised,75
meeting,75
step,75
senate,75
employee,75
non,75
disagree,74
amazing,74
load,74
sore,74
plus,74
cat,74
lower,74
hateful,74
somehow,74
embarrassment,74
late,74
wrote,74
character,74
hatred,74
ahead,74
within,74
paper,73
isi,73
dishonest,73
stuck,73
fraud,73
phone,73
truck,73
serve,73
here,73
obamas,73
proud,73
honest,73
died,73
dude,73
return,73
trouble,72
per,72
worry,72
violent,72
selfish,72
mexico,72
hater,72
narcissistic,72
hat,72
abuse,71
four,71
written,71
university,71
foot,71
blah,71
resource,71
language,71
snowflake,71
corruption,71
refugee,70
alt,70
islamic,70
inept,70
sometimes,70
career,70
lock,70
plenty,70
libs,70
poster,70
neither,70
follower,70
paul,70
caused,69
wage,69
jesus,69
considered,69
deficit,69
writer,69
supported,69
board,69
fed,69
minority,69
bigoted,69
anybody,69
surprise,69
lib,69
cheap,68
despicable,68
afford,68
credit,68
governor,68
easily,68
welfare,68
female,68
waiting,68
damned,68
knowledge,68
third,68
appears,68
interesting,68
rapist,68
cnn,68
basically,68
rhetoric,68
penny,68
mine,67
poll,67
video,67
corporate,67
kim,67
anti,67
built,67
darn,67
favor,67
official,67
create,67
okay,67
generation,67
immediately,67
study,67
anchorage,67
email,67
yep,67
led,67
traffic,67
drop,66
consequence,66
deserves,66
gender,66
provide,66
12,66
werent,66
possibly,66
ship,66
certain,66
horrible,66
iran,66
somebody,66
unfortunately,66
feed,66
welcome,66
bigger,65
concerned,65
screwed,65
gang,65
killer,65
link,65
ready,65
laughing,64
medical,64
focus,64
housing,64
denver,64
incredibly,64
session,64
angry,64
later,64
toronto,64
btw,64
mostly,64
forced,64
rubbish,64
purpose,64
whose,64
steal,64
theyll,63
practice,63
compared,63
naive,63
harm,63
stopped,63
cancer,63
posted,63
near,63
luck,63
daughter,63
park,63
screw,63
guilty,63
murderer,63
sociopath,63
swamp,63
tough,62
sir,62
environment,62
color,62
limit,62
global,62
county,62
defending,62
seeing,62
ran,62
un,62
penalty,62
touch,62
photo,62
notice,62
boot,62
province,62
hasnt,62
adn,62
despite,62
product,62
theory,61
hide,61
concern,61
removed,61
pile,61
cowardly,61
represent,61
pretend,61
massive,61
suspect,61
committed,61
stupidest,61
marijuana,61
sport,61
changed,61
king,60
crowd,60
argue,60
following,60
similar,60
carry,60
wearing,60
dictator,60
keeping,60
gary,60
played,60
assume,60
author,60
bias,60
terrible,60
fbi,60
remark,60
thier,59
15,59
loss,59
prof,59
feeling,59
push,59
decided,59
theyve,59
natural,59
heck,59
aint,59
neighbor,59
soldier,59
proving,59
equal,59
strong,59
leaving,59
cabinet,59
sexist,59
oregon,59
energy,59
everybody,58
count,58
definition,58
bull,58
morning,58
conspiracy,58
avoid,58
suppose,58
whore,58
island,58
sit,58
husband,58
bomb,58
card,58
twitter,58
doctor,58
homosexual,58
leading,58
george,58
washed,58
lived,58
personally,58
fighting,58
donkey,58
miss,57
reply,57
forward,57
deep,57
suit,57
arm,57
thus,57
popular,57
decide,57
movement,57
ability,57
box,57
illegals,57
degree,57
sadly,57
slave,57
unlike,57
starting,57
buddy,57
weve,57
afraid,57
catholic,56
asking,56
destroyed,56
conversation,56
kelly,56
department,56
phony,56
sale,56
blood,56
legislature,56
smoke,55
although,55
blaming,55
alive,55
space,55
happening,55
presidential,55
indian,55
embarrassing,55
prime,55
bernie,55
knowing,55
billionaire,55
ndp,55
passed,55
positive,55
dummy,55
bought,55
executive,55
reaction,55
skin,54
fail,54
terrorism,54
becoming,54
irresponsible,54
legislator,54
meant,54
crooked,54
mexican,54
greedy,54
forever,54
syria,54
organization,54
dumbest,54
cheat,54
council,54
arrogance,54
store,54
begin,54
dump,54
impeached,54
discussion,54
learned,53
ride,53
europe,53
tree,53
anywhere,53
lame,53
kkk,53
funding,53
negative,53
international,53
alternative,53
hack,53
ten,53
football,53
financial,53
treated,53
alcohol,53
hot,53
highest,53
page,53
available,53
crisis,52
cash,52
alberta,52
abortion,52
walker,52
effect,52
punk,52
radical,52
held,52
penis,52
rally,52
mom,52
joe,52
join,52
master,52
skill,52
main,52
fast,52
exposed,52
sent,52
safety,52
tool,52
entitled,52
incompetence,52
aca,52
vehicle,52
decent,52
normal,51
iq,51
towards,51
narrative,51
note,51
broken,51
understanding,51
wasting,51
usually,51
literally,51
field,51
lucky,51
israel,51
finger,51
utterly,51
misogynist,51
miserable,51
somewhere,51
attitude,51
seat,51
expense,51
attorney,51
saudi,51
difficult,51
drivel,51
bum,51
hiding,50
ego,50
meaning,50
40,50
hilarious,50
armed,50
opposite,50
corporation,50
socalled,50
exist,50
winning,50
helping,50
teach,50
mark,50
aware,50
therefore,50
dumbass,50
wear,50
protester,50
sander,50
complain,50
belong,50
century,50
role,50
eh,50
showed,50
quality,50
wealth,50
empty,50
peace,50
opposition,50
block,50
hardly,49
filled,49
electoral,49
dealing,49
rent,49
brother,49
fuel,49
staff,49
treat,49
elite,49
status,49
birth,49
stated,49
dear,49
buying,49
listening,49
pc,49
cold,49
dad,49
eugene,49
hire,49
test,48
english,48
bottom,48
bullet,48
claimed,48
ideology,48
saving,48
msm,48
highly,48
credibility,48
multiple,48
peaceful,48
regard,48
junior,48
pocket,48
kiss,48
laughable,48
destroying,47
sold,47
ashamed,47
gotta,47
mentality,47
walking,47
parasite,47
promised,47
bother,47
rise,47
star,47
extremely,47
infrastructure,47
primary,47
reasonable,47
bannon,47
respond,47
reader,47
kidding,47
protesting,47
district,47
column,47
interested,47
everywhere,47
authority,47
inside,47
handle,47
california,47
regarding,47
western,47
bar,47
pipeline,47
insulting,46
early,46
vast,46
remain,46
currently,46
us,46
raised,46
david,46
equally,46
ludicrous,46
besides,46
faith,46
spoiled,46
politically,46
bud,46
dark,46
holy,46
revenue,46
double,46
hitler,46
nature,46
topic,46
vile,46
huh,45
sexually,45
minded,45
spot,45
jackass,45
smoking,45
beginning,45
partisan,45
twice,45
release,45
sector,45
cure,45
required,45
extremist,45
moment,45
plant,45
train,45
journalist,45
integrity,45
60,45
admitted,45
catch,45
newspaper,45
kept,45
display,45
mad,45
ally,45
opposed,45
surely,44
present,44
voice,44
scared,44
charged,44
chose,44
meanwhile,44
murdered,44
traitorous,44
irrelevant,44
soul,44
option,44
sand,44
trolling,44
expensive,44
prefer,44
regime,44
filthy,44
lisa,44
sake,44
various,44
banned,44
payer,44
blm,44
dare,44
moving,44
target,44
ticket,44
freaking,44
ad,43
colorado,43
resident,43
goal,43
rating,43
broke,43
fantasy,43
recognize,43
agent,43
pfd,43
pal,43
arrest,43
expected,43
successful,43
merely,43
considering,43
google,43
knee,43
season,43
weed,43
scumbags,43
govt,43
absurd,43
flat,43
pushing,43
ryan,43
forgot,43
70,43
petty,43
access,43
drinking,43
looked,43
uh,43
condition,43
internet,43
stealing,43
firearm,43
estate,43
impeach,42
iraq,42
pet,42
stock,42
secret,42
mirror,42
awful,42
york,42
proved,42
bus,42
rot,42
tragedy,42
super,42
claiming,42
coach,42
sitting,42
reduce,42
andor,42
privilege,42
advice,42
loose,42
reporter,42
influence,42
ethic,42
sending,42
shown,42
investment,42
platform,42
coverage,42
conclusion,42
shooter,42
sooner,42
priest,42
commit,41
niger,41
pain,41
holding,41
model,41
mile,41
golf,41
forum,41
palin,41
constantly,41
spewing,41
grand,41
accurate,41
coast,41
yesterday,41
nope,41
recall,41
extra,41
extreme,41
travel,41
principle,41
dying,41
accused,41
attacking,41
uninformed,41
onto,41
latest,41
offensive,41
limited,41
texas,41
twit,41
bronco,41
bike,41
thrown,41
hed,41
germany,41
pointing,41
constitutional,41
unfit,41
pedophile,41
apology,41
impact,40
bankrupt,40
junk,40
address,40
ass,40
desire,40
assad,40
apply,40
dem,40
desperate,40
drink,40
whine,40
scary,40
appear,40
gov,40
james,40
reporting,40
growing,40
strike,40
data,40
modern,40
anc,40
activity,40
winner,40
sue,40
watched,40
busy,40
center,40
gullible,40
recent,40
visit,40
oleary,40
ah,40
previous,40
80,40
include,40
enforcement,40
draft,40
missing,40
cell,40
repeat,40
nose,40
chicken,39
accusation,39
anthem,39
puppet,39
protection,39
serving,39
la,39
wealthy,39
attacked,39
original,39
al,39
received,39
treason,39
danger,39
became,39
hearing,39
march,39
reckless,39
nearly,39
throwing,39
refused,39
altright,39
pervert,39
hair,39
believed,39
rant,39
attempting,39
letting,39
wild,39
hrc,39
spew,39
humanity,39
trip,39
protecting,38
bigotry,38
allowing,38
met,38
african,38
illness,38
agency,38
signed,38
agreement,38
represents,38
lane,38
antifa,38
produce,38
sa,38
missed,38
section,38
till,38
passing,38
mindless,38
teaching,38
scientist,38
resign,38
biased,38
artist,38
sympathy,38
version,38
apologize,38
track,38
european,38
license,38
critical,38
kinda,38
rude,38
trail,38
obamacare,38
establishment,38
review,38
dream,37
generally,37
background,37
honestly,37
scandal,37
advantage,37
destruction,37
grade,37
eventually,37
warming,37
theyd,37
flying,37
approach,37
ring,37
measure,37
crash,37
relevant,37
lesson,37
slavery,37
scream,37
sun,37
balance,37
smarter,37
pulled,37
toward,37
wolf,37
wtf,37
protected,37
kicked,37
honor,37
tiny,37
grabbing,37
horse,37
band,37
agreed,37
reach,37
camp,37
jones,37
slow,37
wasted,37
directly,37
professional,37
gotten,37
nk,37
mail,37
file,36
smell,36
africa,36
economics,36
tactic,36
ruin,36
key,36
neighborhood,36
fill,36
aside,36
headed,36
managed,36
toxic,36
club,36
ignoring,36
downtown,36
remains,36
fiscal,36
plane,36
helped,36
repeal,36
ie,36
immature,36
delusion,36
causing,36
five,36
comparison,36
secretary,36
educate,36
vacuous,36
poorly,36
supreme,36
blatant,36
ignored,36
collusion,36
rational,36
round,36
regulation,36
speaks,36
14,36
arrested,36
size,36
treasonous,36
jump,36
wh,36
journalism,36
alien,36
quickly,36
breath,36
suffering,36
excellent,36
beautiful,36
suffer,36
jr,36
bible,36
minor,35
domestic,35
yea,35
spin,35
lawsuit,35
spell,35
error,35
omg,35
describe,35
mentioned,35
trudeaus,35
raped,35
require,35
karma,35
bright,35
wind,35
bringing,35
customer,35
via,35
illegally,35
unable,35
veteran,35
french,35
2016,35
informed,35
troop,35
falling,35
style,35
gut,35
dozen,35
feminist,35
editorial,35
elsewhere,35
believing,35
martin,35
increasing,35
brat,35
loved,35
reported,35
90,35
particularly,35
manage,34
river,34
cake,34
duty,34
perfectly,34
bos,34
coal,34
steve,34
german,34
threatening,34
asinine,34
leaf,34
ear,34
uncivil,34
blue,34
recently,34
mainstream,34
sea,34
art,34
incident,34
fought,34
professor,34
deranged,34
relationship,34
yup,34
online,34
minimum,34
monster,34
morneau,34
tory,34
3rd,34
failing,34
representative,34
trillion,34
elitist,34
necessary,34
stage,33
outrage,33
serial,33
speed,33
hating,33
impeachment,33
gain,33
direction,33
corner,33
lapdog,33
prevent,33
closed,33
lover,33
hospital,33
behaviour,33
description,33
electing,33
grown,33
suicide,33
basis,33
wanting,33
2017,33
stink,33
incapable,33
owned,33
greed,33
tend,33
greatest,33
sane,33
conflict,33
identity,33
qualified,33
roll,33
hill,33
exact,33
chin,33
incredible,33
marriage,33
deplorable,33
da,33
buck,33
aa,33
quick,33
handed,33
advocate,33
athlete,33
reminds,33
devil,33
legally,32
bullying,32
compare,32
material,32
described,32
nra,32
moore,32
smug,32
felt,32
aid,32
director,32
army,32
po,32
particular,32
earlier,32
st,32
facebook,32
fooled,32
18,32
manner,32
pro,32
dc,32
locked,32
twisted,32
core,32
miller,32
opponent,32
khadr,32
unbelievable,32
immoral,32
thread,32
bishop,32
website,32
greater,32
lord,32
cretin,32
creepy,32
25,32
analysis,32
disrespectful,32
pulling,32
missile,32
duck,32
bite,32
sky,32
foundation,32
saved,32
regular,32
dnc,32
morally,32
finding,32
criticism,32
inane,32
bye,32
worried,32
raping,32
logical,32
movie,32
gee,32
rotten,31
match,31
cbc,31
flynn,31
legislation,31
committee,31
asian,31
loud,31
taught,31
finance,31
frankly,31
moderate,31
easier,31
substance,31
screaming,31
spoken,31
emotional,31
notion,31
drama,31
reputation,31
fish,31
shill,31
learning,31
discus,31
vagina,31
crappy,31
illiterate,31
cutting,31
racial,31
cool,31
vancouver,31
appropriate,31
percent,31
crawl,31
growth,31
gross,31
pray,31
cultural,31
cult,31
powerful,31
impossible,31
ilk,31
apple,30
whatsoever,30
deny,30
flagged,30
grifter,30
direct,30
carrying,30
suggesting,30
bitter,30
capital,30
independent,30
requires,30
outcome,30
exercise,30
meat,30
turd,30
realized,30
deeply,30
punishment,30
promote,30
publicly,30
commentary,30
silent,30
guard,30
christ,30
quebec,30
downright,30
everyday,30
window,30
chemical,30
dealer,30
reform,30
drag,30
psychotic,30
eight,30
hawaiian,30
trick,30
award,30
trial,30
felony,30
treatment,30
commie,30
search,30
clever,30
expose,30
belongs,30
employer,30
picking,30
willfully,30
complex,30
stone,30
success,30
entirely,30
creating,30
specific,30
hired,30
specifically,30
referring,30
connection,30
six,30
faced,30
disease,30
roy,30
proper,30
upset,30
shameful,30
mike,30
married,29
fascism,29
replace,29
salary,29
korean,29
stolen,29
unhinged,29
accident,29
rip,29
marxist,29
famous,29
british,29
breaking,29
date,29
offense,29
yr,29
appeal,29
2nd,29
irrational,29
equality,29
electricity,29
battle,29
apart,29
effective,29
contract,29
hollywood,29
pope,29
sycophant,29
intellectual,29
justify,29
republic,29
bloody,29
earn,29
named,29
station,29
genius,29
moved,29
favorite,29
arabia,29
wonderful,29
ought,29
affordable,29
explanation,29
dirt,29
syrian,29
johnson,29
sleep,29
spread,29
dotard,29
stance,29
arse,29
slap,29
surprising,29
crum,29
chosen,29
pack,29
loving,29
changing,29
ending,29
vacation,28
ignoramus,28
setting,28
sht,28
largest,28
capable,28
cruel,28
afghanistan,28
prior,28
warning,28
heaven,28
manager,28
grew,28
confused,28
terror,28
curb,28
chris,28
dr,28
deflect,28
hydro,28
hoping,28
labor,28
superior,28
malignant,28
offender,28
rep,28
transgender,28
lifestyle,28
anger,28
balanced,28
grasp,28
electorate,28
factor,28
whenever,28
turning,28
clark,28
criticize,28
interview,28
wise,28
ottawa,28
lowest,28
coffee,28
added,28
addict,28
disrespect,28
legacy,28
unstable,28
juneau,28
pant,28
host,28
mueller,28
approval,28
governing,28
driven,28
reasoning,28
older,28
ruling,28
bankruptcy,28
purchase,28
daddy,28
tie,28
permit,27
goodness,27
zone,27
deluded,27
lynch,27
noise,27
antiamerican,27
judgement,27
firm,27
assumption,27
shall,27
firing,27
insist,27
poverty,27
spews,27
45,27
beer,27
devoid,27
affect,27
concept,27
bail,27
caldwell,27
tom,27
badly,27
net,27
user,27
harris,27
pretending,27
hello,27
openly,27
environmental,27
riddance,27
deplorables,27
served,27
righteous,27
credible,27
comparing,27
uk,27
complaining,27
machine,27
whoever,27
ak,27
exists,27
fully,27
included,27
barack,27
freak,27
hunt,27
challenge,27
hunter,27
fixed,27
soros,27
context,27
accepted,27
haha,27
worthy,27
tear,27
detail,27
liberty,27
sullivan,27
parking,27
network,27
hated,27
being,27
produced,27
production,27
breitbart,27
raising,27
payment,27
highway,27
yard,27
commercial,26
providing,26
cap,26
draw,26
sensible,26
fringe,26
aloha,26
denying,26
bait,26
drain,26
partner,26
retired,26
gold,26
michael,26
vulgar,26
punch,26
acknowledge,26
blowing,26
defeat,26
alleged,26
proudly,26
medicare,26
statue,26
24,26
sin,26
rebel,26
abuser,26
expert,26
acceptable,26
maintain,26
psychopath,26
virtually,26
retarded,26
eu,26
forgotten,26
11,26
flow,26
info,26
shoe,26
development,26
dope,26
training,26
basement,26
tourist,26
insanity,26
increased,26
math,26
ag,26
seek,26
progress,26
guarantee,26
related,26
becomes,26
league,26
designed,26
strategy,26
charles,26
monkey,26
personality,26
whiner,26
pity,25
appointed,25
followed,25
pension,25
cheating,25
survive,25
management,25
portland,25
deleted,25
hike,25
vietnam,25
nowhere,25
respected,25
burning,25
richard,25
careful,25
music,25
method,25
decency,25
patient,25
scientific,25
outright,25
divide,25
boring,25
accomplished,25
copy,25
fk,25
chicago,25
challenged,25
rescue,25
diversity,25
irony,25
performance,25
chair,25
continued,25
disgraceful,25
prize,25
ownership,25
nato,25
nationalist,25
stunt,25
storm,25
el,25
earned,25
spite,25
theft,25
relative,25
embarrassed,25
closet,25
wood,25
retirement,25
writes,25
creep,25
leg,25
statistic,25
title,25
code,25
hammer,25
facing,25
reference,25
pool,25
convicted,25
sack,25
brand,25
snow,25
feeding,25
murdering,25
bed,25
picked,25
activist,25
permanent,25
camera,25
congratulation,25
faster,25
bubble,25
socialism,25
radio,24
deport,24
imo,24
merit,24
deserved,24
toss,24
whiny,24
square,24
table,24
endless,24
obnoxious,24
poison,24
burden,24
suggestion,24
dignity,24
sickening,24
airport,24
image,24
contractor,24
1st,24
harder,24
remind,24
mencken,24
loyal,24
pr,24
fallen,24
significant,24
1000,24
jet,24
grant,24
pointed,24
tweeting,24
babbling,24
tillerson,24
potato,24
cross,24
unqualified,24
weekend,24
flight,24
dolt,24
bumbling,24
heat,24
nail,24
columnist,24
technology,24
civility,24
ensure,24
ice,24
smile,24
cast,24
bone,24
unethical,24
shape,24
misogynistic,24
moose,24
fell,24
jack,24
circle,24
florida,24
assistance,24
reelected,24
barrel,24
institution,24
planned,24
noticed,24
walked,24
heavy,24
flood,24
violation,24
demonstrated,23
commission,23
loathsome,23
unemployment,23
backwards,23
comprehension,23
fails,23
creature,23
13,23
bird,23
brave,23
gene,23
fairbanks,23
crack,23
sucking,23
disorder,23
label,23
punished,23
retire,23
command,23
repeatedly,23
invest,23
audience,23
prayer,23
donnie,23
brainless,23
friendly,23
repeated,23
selfserving,23
subsidy,23
legislative,23
properly,23
legitimate,23
wannabe,23
forcing,23
rightwing,23
era,23
dp,23
trooper,23
placed,23
hiring,23
serf,23
counting,23
buyer,23
counter,23
hispanic,23
toy,23
tea,23
declared,23
competent,23
islamist,23
taste,23
sarah,23
queen,23
believer,23
construction,23
hurricane,23
